date,optionID,optionK,optionName,volumeValue,open,high,low,close,SettlementPrice,volume,open interest,uplimit,downlimit,Delta,Gamma,Vega,Theta,Rho
2016/12/30,10000671,2.055,50ETF购2017年3月2.055A,"2,696,766.00",0.2332,0.2433,0.2326,0.2383,0.2382,"1,111","20,419",0.4618,0.0062,1,0,0,-0.06,0.465
2016/12/30,10000672,2.104,50ETF购2017年3月2.104A,"1,114,607.00",0.1906,0.2001,0.1896,0.1939,0.1944,561,"5,528",0.4208,0.0001,1,0,0,-0.061,0.476
2016/12/30,10000673,2.153,50ETF购2017年3月2.153A,"702,465.00",0.1528,0.1617,0.1516,0.1559,0.1559,435,"5,771",0.3828,0.0001,0.884,1.485,0.213,-0.111,0.425
2016/12/30,10000674,2.202,50ETF购2017年3月2.202A,"548,635.00",0.1196,0.1268,0.118,0.1211,0.1208,443,"3,769",0.3494,0.0001,0.764,2.079,0.336,-0.148,0.371
2016/12/30,10000675,2.25,50ETF购2017年3月2.250A,"401,336.00",0.0905,0.0983,0.0905,0.0931,0.0937,417,"4,259",0.3218,0.0001,0.64,2.291,0.409,-0.174,0.312
2016/12/30,10000676,2.055,50ETF沽2017年3月2.055A,"317,955.00",0.0112,0.0112,0.0083,0.0087,0.0087,"3,491","20,318",0.1942,0.0001,-0.09,0.812,0.178,-0.066,-0.049
2016/12/30,10000677,2.104,50ETF沽2017年3月2.104A,"262,450.00",0.0179,0.0179,0.014,0.0148,0.0148,"1,689","13,967",0.2106,0.0001,-0.14,1.121,0.243,-0.087,-0.076
2016/12/30,10000678,2.153,50ETF沽2017年3月2.153A,"249,885.00",0.0289,0.0289,0.024,0.0242,0.0242,958,"12,369",0.2313,0.0001,-0.208,1.44,0.312,-0.11,-0.114
2016/12/30,10000679,2.202,50ETF沽2017年3月2.202A,"530,270.00",0.0448,0.0448,0.0387,0.0387,0.0387,"1,294","9,921",0.2565,0.0001,-0.292,1.7,0.375,-0.131,-0.161
2016/12/30,10000680,2.25,50ETF沽2017年3月2.250A,"570,663.00",0.0643,0.0643,0.0573,0.0573,0.058,937,"10,269",0.2859,0.0001,-0.382,1.85,0.416,-0.145,-0.212
2016/12/30,10000681,2.299,50ETF购2017年3月2.299A,"504,235.00",0.0685,0.0751,0.0682,0.0701,0.0701,698,"6,411",0.297,0.0001,0.523,2.318,0.435,-0.183,0.256
2016/12/30,10000682,2.299,50ETF沽2017年3月2.299A,"1,150,118.00",0.091,0.091,0.0826,0.0842,0.084,"1,309","6,535",0.3173,0.0001,-0.475,1.851,0.435,-0.154,-0.267
2016/12/30,10000695,2.348,50ETF购2017年3月2.348A,"276,007.00",0.0515,0.0566,0.0512,0.0523,0.0521,504,"7,524",0.2735,0.0001,0.417,2.171,0.426,-0.18,0.205
2016/12/30,10000696,2.397,50ETF购2017年3月2.397A,"156,129.00",0.0389,0.043,0.0384,0.0397,0.0391,380,"18,916",0.2564,0.0001,0.328,1.905,0.395,-0.171,0.162
2016/12/30,10000697,2.348,50ETF沽2017年3月2.348A,"397,770.00",0.1226,0.1226,0.1137,0.1145,0.1152,334,"8,534",0.3488,0.0001,-0.56,1.752,0.431,-0.154,-0.318
2016/12/30,10000698,2.397,50ETF沽2017年3月2.397A,"128,155.00",0.1581,0.1581,0.15,0.1511,0.1511,82,"8,085",0.3854,0.0001,-0.631,1.583,0.412,-0.151,-0.363
2016/12/30,10000727,2.153,50ETF购2017年6月2.153A,"952,556.00",0.187,0.1962,0.1847,0.1886,0.1886,490,"6,473",0.4184,0.0001,0.807,1.311,0.444,-0.106,0.828
2016/12/30,10000728,2.202,50ETF购2017年6月2.202A,"86,575.00",0.1588,0.1645,0.1556,0.1585,0.1583,53,"4,264",0.3884,0.0001,0.72,1.493,0.545,-0.12,0.744
2016/12/30,10000729,2.25,50ETF购2017年6月2.250A,"176,709.00",0.1378,0.1397,0.1311,0.1336,0.1335,127,"4,296",0.3649,0.0001,0.635,1.56,0.608,-0.129,0.66
2016/12/30,10000730,2.299,50ETF购2017年6月2.299A,"191,334.00",0.1133,0.1198,0.1108,0.112,0.112,164,"3,637",0.3415,0.0001,0.556,1.552,0.639,-0.134,0.579
2016/12/30,10000731,2.348,50ETF购2017年6月2.348A,"146,403.00",0.0947,0.0981,0.0915,0.0929,0.0929,151,"4,649",0.3173,0.0001,0.483,1.51,0.645,-0.135,0.505
2016/12/30,10000732,2.153,50ETF沽2017年6月2.153A,"1,086,512.00",0.0602,0.0602,0.0515,0.052,0.052,"1,959","19,893",0.2619,0.0001,-0.264,1.078,0.528,-0.08,-0.327
2016/12/30,10000733,2.202,50ETF沽2017年6月2.202A,"198,525.00",0.0805,0.0805,0.0707,0.0716,0.0716,262,"10,682",0.2918,0.0001,-0.325,1.154,0.582,-0.088,-0.408
2016/12/30,10000734,2.25,50ETF沽2017年6月2.250A,"253,743.00",0.1019,0.1019,0.0944,0.0944,0.0944,254,"5,592",0.3245,0.0001,-0.386,1.19,0.619,-0.094,-0.488
2016/12/30,10000735,2.299,50ETF沽2017年6月2.299A,"588,593.00",0.1296,0.1296,0.1198,0.1213,0.1213,466,"6,885",0.3575,0.0001,-0.445,1.19,0.639,-0.098,-0.57
2016/12/30,10000736,2.348,50ETF沽2017年6月2.348A,"456,743.00",0.1616,0.1616,0.1502,0.1502,0.1506,290,"2,716",0.3869,0.0001,-0.502,1.17,0.645,-0.098,-0.649
2016/12/30,10000739,2.397,50ETF购2017年6月2.397A,"208,469.00",0.0794,0.0834,0.0756,0.0767,0.0763,260,"6,466",0.2967,0.0001,0.415,1.439,0.631,-0.131,0.437
2016/12/30,10000740,2.397,50ETF沽2017年6月2.397A,"523,430.00",0.1944,0.1944,0.1828,0.1829,0.1829,275,"2,443",0.4191,0.0001,-0.553,1.127,0.639,-0.096,-0.724
2016/12/30,10000745,2.446,50ETF购2017年3月2.446A,"94,951.00",0.029,0.0321,0.0285,0.029,0.029,310,"5,720",0.241,0.0001,0.256,1.626,0.351,-0.156,0.126
2016/12/30,10000746,2.446,50ETF沽2017年3月2.446A,"136,403.00",0.1964,0.1964,0.1879,0.1917,0.19,70,"3,368",0.4233,0.0001,-0.69,1.405,0.385,-0.143,-0.403
2016/12/30,10000747,2.446,50ETF购2017年6月2.446A,"160,005.00",0.0647,0.0688,0.0624,0.0628,0.0628,241,"2,512",0.279,0.0001,0.356,1.336,0.602,-0.126,0.375
2016/12/30,10000748,2.446,50ETF沽2017年6月2.446A,"315,972.00",0.2292,0.2292,0.2168,0.2177,0.2177,139,"1,397",0.4553,0.0001,-0.6,1.069,0.625,-0.093,-0.795
2016/12/30,10000749,2.25,50ETF购2017年1月2.250A,"1,682,456.00",0.0554,0.0649,0.0554,0.0613,0.0614,"2,693","11,151",0.2853,0.0001,0.682,3.838,0.219,-0.273,0.108
2016/12/30,10000750,2.299,50ETF购2017年1月2.299A,"1,626,754.00",0.034,0.0387,0.0337,0.0365,0.0365,"4,391","16,189",0.26,0.0001,0.48,3.983,0.245,-0.307,0.077
2016/12/30,10000751,2.348,50ETF购2017年1月2.348A,"594,349.00",0.0198,0.0221,0.0185,0.0205,0.0205,"2,859","10,499",0.2402,0.0001,0.309,3.323,0.216,-0.278,0.05
2016/12/30,10000752,2.397,50ETF购2017年1月2.397A,"351,995.00",0.01,0.0123,0.0096,0.0105,0.0105,"3,183","9,828",0.2263,0.0001,0.181,2.401,0.162,-0.211,0.029
2016/12/30,10000753,2.446,50ETF购2017年1月2.446A,"207,733.00",0.0055,0.0066,0.0021,0.0054,0.0054,"3,478","13,752",0.2167,0.0001,0.101,1.543,0.108,-0.146,0.016
2016/12/30,10000754,2.25,50ETF沽2017年1月2.250A,"1,219,450.00",0.0278,0.0278,0.0219,0.0241,0.0242,"4,924","8,746",0.2495,0.0001,-0.337,3.446,0.224,-0.245,-0.057
2016/12/30,10000755,2.299,50ETF沽2017年1月2.299A,"2,633,093.00",0.053,0.053,0.0429,0.048,0.048,"5,333","9,451",0.2807,0.0001,-0.516,3.6,0.245,-0.27,-0.089
2016/12/30,10000756,2.348,50ETF沽2017年1月2.348A,"1,011,527.00",0.0873,0.0873,0.0775,0.0814,0.0814,"1,220","3,271",0.3143,0.0001,-0.669,3.031,0.223,-0.253,-0.116
2016/12/30,10000757,2.397,50ETF沽2017年1月2.397A,"673,040.00",0.1277,0.1277,0.1163,0.1203,0.1203,542,"3,454",0.3544,0.0001,-0.783,2.319,0.181,-0.202,-0.138
2016/12/30,10000758,2.446,50ETF沽2017年1月2.446A,"2,727,358.00",0.1722,0.1722,0.1591,0.1646,0.1646,"1,622","3,570",0.3983,0.0001,-0.848,1.672,0.144,-0.167,-0.152
2016/12/30,10000761,2.495,50ETF购2017年1月2.495A,"60,222.00",0.0034,0.0039,0.003,0.0031,0.0031,"1,764","12,872",0.2094,0.0001,0.06,0.967,0.073,-0.105,0.01
2016/12/30,10000762,2.495,50ETF沽2017年1月2.495A,"860,483.00",0.2184,0.2184,0.207,0.2112,0.2112,398,"2,639",0.4448,0.0001,-0.885,1.233,0.119,-0.145,-0.161
2016/12/30,10000763,2.495,50ETF购2017年3月2.495A,"78,552.00",0.0221,0.0239,0.0209,0.0217,0.0215,342,"5,279",0.2291,0.0001,0.197,1.354,0.303,-0.138,0.098
2016/12/30,10000764,2.495,50ETF沽2017年3月2.495A,"83,169.00",0.2374,0.2374,0.2284,0.2304,0.2304,35,"1,491",0.4646,0.009,-0.74,1.236,0.354,-0.131,-0.438
2016/12/30,10000765,2.495,50ETF购2017年6月2.495A,"130,884.00",0.0531,0.0552,0.0514,0.0518,0.0518,241,"3,448",0.2622,0.0001,0.303,1.22,0.565,-0.119,0.32
2016/12/30,10000766,2.495,50ETF沽2017年6月2.495A,"138,487.00",0.2664,0.2664,0.2543,0.2543,0.2543,52,"1,254",0.4911,0.0355,-0.643,1.006,0.604,-0.088,-0.862
2016/12/30,10000777,2.3,50ETF购2017年1月2.30,"15,582,345.00",0.0342,0.0385,0.0331,0.0363,0.0363,"43,656","100,108",0.2591,0.0001,0.477,3.958,0.245,-0.308,0.076
