,date,optionID,optionK,optionName,volumeValue,open,high,low,close,SettlementPrice,volume,open interest,uplimit,downlimit,Delta,Gamma,Vega,Theta,Rho
0,2018/8/13,10001211,2.9,50ETF购2018年9月2.90,"521,023.00",0.0076,0.0076,0.0052,0.0067,0.0067,"8,158","22,648",0.2287,0.0001,0.069,0.596,0.11599999999999999,-0.127,0.02
1,2018/8/13,10001212,2.95,50ETF购2018年9月2.95,"192,163.00",0.0054,0.0054,0.0038,0.0049,0.0049,"4,133","16,838",0.2212,0.0001,0.051,0.45799999999999996,0.091,-0.102,0.015
2,2018/8/13,10001213,3.0,50ETF购2018年9月3.00,"80,561.00",0.0041,0.0041,0.003,0.0033,0.0033,"2,283","23,459",0.2149,0.0001,0.035,0.33799999999999997,0.068,-0.076,0.01
3,2018/8/13,10001214,3.1,50ETF购2018年9月3.10,"33,357.00",0.0028,0.0028,0.002,0.0023,0.0022,"1,470","21,654",0.2032,0.0001,0.023,0.222,0.049,-0.059000000000000004,0.006999999999999999
4,2018/8/13,10001215,3.2,50ETF购2018年9月3.20,"10,639.00",0.0023,0.0023,0.0017,0.0017,0.0017,563,"17,207",0.1926,0.0001,0.018000000000000002,0.161,0.039,-0.051,0.005
5,2018/8/13,10001216,3.3,50ETF购2018年9月3.30,"7,831.00",0.0015,0.0016,0.0012,0.0013,0.0013,574,"8,178",0.1819,0.0001,0.013000000000000001,0.11199999999999999,0.028999999999999998,-0.04,0.004
6,2018/8/13,10001217,3.4,50ETF购2018年9月3.40,"5,488.00",0.0015,0.0015,0.0011,0.0011,0.0011,430,"14,249",0.1716,0.0001,0.011000000000000001,0.09,0.025,-0.038,0.003
7,2018/8/13,10001218,3.5,50ETF购2018年9月3.50,"17,051.00",0.0011,0.0013,0.001,0.001,0.001,"1,476","18,314",0.1614,0.0001,0.009000000000000001,0.07200000000000001,0.021,-0.034,0.003
8,2018/8/13,10001219,3.6,50ETF购2018年9月3.60,"21,401.00",0.0011,0.0013,0.001,0.0012,0.001,"1,808","45,606",0.1513,0.0001,0.009000000000000001,0.065,0.021,-0.036000000000000004,0.003
9,2018/8/13,10001220,2.9,50ETF沽2018年9月2.90,"1,426,252.00",0.3621,0.4055,0.3621,0.368,0.374,369,"2,512",0.6041,0.0939,-0.909,0.6679999999999999,0.14400000000000002,-0.09,-0.322
10,2018/8/13,10001221,2.95,50ETF沽2018年9月2.95,"2,333,010.00",0.4194,0.4545,0.40700000000000003,0.4167,0.424,532,"2,530",0.6541,0.1439,-0.914,0.5820000000000001,0.138,-0.096,-0.32899999999999996
11,2018/8/13,10001222,3.0,50ETF沽2018年9月3.00,"1,272,215.00",0.467,0.5032,0.4557,0.4636,0.474,265,"2,447",0.7041,0.1939,-0.919,0.515,0.132,-0.10099999999999999,-0.337
12,2018/8/13,10001223,3.1,50ETF沽2018年9月3.10,"2,002,531.00",0.56,0.601,0.5539,0.5622,0.574,345,"2,582",0.8041,0.2939,-0.925,0.42,0.124,-0.114,-0.35100000000000003
13,2018/8/13,10001224,3.2,50ETF沽2018年9月3.20,"810,979.00",0.6808,0.6961,0.6621,0.6621,0.674,119,"1,852",0.9041,0.3939,-0.93,0.354,0.11800000000000001,-0.12300000000000001,-0.364
14,2018/8/13,10001225,3.3,50ETF沽2018年9月3.30,"602,277.00",0.7807,0.7975,0.7607,0.7607,0.774,77,"1,710",1.0041,0.4939,-0.934,0.306,0.11199999999999999,-0.131,-0.37799999999999995
15,2018/8/13,10001226,3.4,50ETF沽2018年9月3.40,"467,490.00",0.8685,0.8969,0.8685,0.8694,0.8740000000000001,53,"2,442",1.1041,0.5939,-0.937,0.271,0.109,-0.141,-0.391
16,2018/8/13,10001227,3.5,50ETF沽2018年9月3.50,"910,688.00",0.9679,0.9963,0.9585,0.9585,0.9740000000000001,93,"2,817",1.2041,0.6939,-0.9390000000000001,0.243,0.106,-0.15,-0.40299999999999997
17,2018/8/13,10001228,3.6,50ETF沽2018年9月3.60,"1,923,120.00",1.0676,1.094,1.0522,1.0603,1.074,179,"6,044",1.3041,0.7939,-0.941,0.221,0.10300000000000001,-0.158,-0.41600000000000004
18,2018/8/13,10001229,2.85,50ETF购2018年9月2.85,"993,061.00",0.011000000000000001,0.011000000000000001,0.0075,0.0095,0.0095,"11,113","18,105",0.2373,0.0001,0.094,0.77,0.147,-0.157,0.027000000000000003
19,2018/8/13,10001230,2.85,50ETF沽2018年9月2.85,"2,744,508.00",0.3139,0.3585,0.3131,0.3219,0.324,813,"3,639",0.5575,0.0473,-0.902,0.782,0.152,-0.083,-0.314
20,2018/8/13,10001231,2.8,50ETF购2018年9月2.80,"1,464,532.00",0.016,0.016,0.0107,0.0139,0.0139,"11,232","24,074",0.2474,0.0001,0.131,0.986,0.18600000000000003,-0.19899999999999998,0.038
21,2018/8/13,10001232,2.8,50ETF沽2018年9月2.80,"3,906,018.00",0.2686,0.3122,0.2686,0.2769,0.2769,"1,336","4,228",0.5127,0.0025,-0.875,0.976,0.18,-0.107,-0.3
22,2018/8/13,10001233,2.75,50ETF购2018年9月2.75,"2,373,666.00",0.023,0.023,0.0158,0.02,0.02,"12,431","23,907",0.26,0.0001,0.177,1.2229999999999999,0.228,-0.24100000000000002,0.052000000000000005
23,2018/8/13,10001234,2.75,50ETF沽2018年9月2.75,"4,693,070.00",0.2246,0.2676,0.2246,0.2332,0.2333,"1,887","6,418",0.4705,0.0001,-0.8270000000000001,1.224,0.22399999999999998,-0.154,-0.28
24,2018/8/13,10001241,2.6,50ETF购2018年9月2.60,"11,478,976.00",0.059000000000000004,0.0642,0.0468,0.0576,0.0576,"21,353","27,225",0.3176,0.0001,0.397,1.821,0.33799999999999997,-0.36700000000000005,0.114
25,2018/8/13,10001242,2.65,50ETF购2018年9月2.65,"5,099,624.00",0.0446,0.0446,0.0333,0.0418,0.0418,"12,960","19,645",0.2947,0.0001,0.314,1.6669999999999998,0.311,-0.335,0.091
